,Unnamed: 0,NAME,COUNTY,E_TOTPOP,RPL_THEMES
0,0,Alabama,Autauga,1923,0.2533
1,1,Alabama,Autauga,3476,0.64
2,2,Alabama,Autauga,9883,0.4713
3,3,Alabama,Autauga,2826,0.2025
4,4,Alabama,Autauga,11603,0.526
5,5,Alabama,Baldwin,8324,0.1898
6,6,Alabama,Baldwin,19892,0.182
7,7,Alabama,Baldwin,9744,0.3787
8,8,Alabama,Baldwin,7036,0.592
9,9,Alabama,Baldwin,8181,0.5015
10,10,Alabama,Baldwin,11095,0.3767
11,11,Alabama,Baldwin,4385,0.1859
12,12,Alabama,Baldwin,5021,0.5115
13,13,Alabama,Baldwin,6003,0.5379
14,14,Alabama,Baldwin,4921,0.1984
15,15,Alabama,Baldwin,10629,0.2102
16,16,Alabama,Baldwin,620,0.1656
17,17,Alabama,Baldwin,5867,0.4604
18,18,Alabama,Baldwin,12485,0.637
19,19,Alabama,Barbour,2347,0.8274
20,20,Alabama,Barbour,3994,0.8417
21,21,Alabama,Bibb,4831,0.2249
22,22,Alabama,Blount,7073,0.6523
23,23,Alabama,Blount,3870,0.619
24,24,Alabama,Blount,9414,0.2897
25,25,Alabama,Butler,1245,0.2275
26,26,Alabama,Butler,2259,0.7812
27,27,Alabama,Calhoun,6194,0.5074
28,28,Alabama,Calhoun,6985,0.5951
29,29,Alabama,Calhoun,3646,0.6574
30,30,Alabama,Calhoun,6774,0.8108
31,31,Alabama,Calhoun,3254,0.1881
32,32,Alabama,Calhoun,6919,0.8089
33,33,Alabama,Calhoun,3481,0.6053
34,34,Alabama,Calhoun,3622,0.8055
35,35,Alabama,Calhoun,7333,0.2804
36,36,Alabama,Chambers,2977,0.5003
37,37,Alabama,Chambers,3190,0.6008
38,38,Alabama,Chambers,5196,0.6576
39,39,Alabama,Chambers,822,0.6213
40,40,Alabama,Chambers,4046,0.8664
41,41,Alabama,Chambers,4684,0.504
42,42,Alabama,Chilton,4336,0.6921
43,43,Alabama,Chilton,7134,0.8163
44,44,Alabama,Clarke,5295,0.7362
45,45,Alabama,Clarke,3964,0.889
46,46,Alabama,Clay,5295,0.6224
47,47,Alabama,Clay,2975,0.9187
48,48,Alabama,Coffee,2842,0.2898
49,49,Alabama,Coffee,2392,0.6717
50,50,Alabama,Coffee,3196,0.7207
51,51,Alabama,Coffee,9353,0.115
52,52,Alabama,Coffee,8417,0.5766
53,53,Alabama,Colbert,3396,0.6599
54,54,Alabama,Colbert,1891,0.7481
55,55,Alabama,Colbert,1737,0.152
56,56,Alabama,Colbert,5777,0.6949
57,57,Alabama,Colbert,6224,0.2209
58,58,Alabama,Colbert,4992,0.4106
59,59,Alabama,Colbert,4966,0.4161
60,60,Alabama,Colbert,4330,0.3467
61,61,Alabama,Colbert,3950,0.6614
62,62,Alabama,Colbert,4254,0.4909
63,63,Alabama,Colbert,3559,0.5114
64,64,Alabama,Conecuh,1568,0.9176
65,65,Alabama,Covington,2085,0.5555
66,66,Alabama,Covington,3984,0.8312
67,67,Alabama,Covington,3078,0.4514
68,68,Alabama,Covington,1534,0.9096
69,69,Alabama,Covington,1761,0.8778
70,70,Alabama,Cullman,4269,0.7746
71,71,Alabama,Cullman,2696,0.5006
72,72,Alabama,Cullman,4237,0.5343
73,73,Alabama,Dale,3140,0.8692
74,74,Alabama,Dale,3310,0.7256
75,75,Alabama,Dale,4357,0.8028
76,76,Alabama,Dale,4066,0.6779
77,77,Alabama,Dale,4106,0.4703
78,78,Alabama,Dallas,3749,0.9081
79,79,Alabama,Dallas,2715,0.8422
80,80,Alabama,Dallas,1826,0.29
81,81,Alabama,Dallas,1605,0.7926
82,82,Alabama,DeKalb,2971,0.768
83,83,Alabama,DeKalb,2386,0.289
84,84,Alabama,DeKalb,6070,0.8995
85,85,Alabama,DeKalb,3958,0.6724
86,86,Alabama,Elmore,4416,0.4595
87,87,Alabama,Elmore,2600,0.2888
88,88,Alabama,Elmore,7006,0.7993
89,89,Alabama,Elmore,7442,0.054
90,90,Alabama,Elmore,4278,0.1435
91,91,Alabama,Elmore,7081,0.665
92,92,Alabama,Elmore,6264,0.2489
93,93,Alabama,Elmore,7558,0.6048
94,94,Alabama,Elmore,4102,0.28
95,95,Alabama,Elmore,4484,0.6755
96,96,Alabama,Escambia,4427,0.6276
97,97,Alabama,Escambia,4185,0.7248
98,98,Alabama,Escambia,3993,0.7976
99,99,Alabama,Escambia,3910,0.8372
100,100,Alabama,Etowah,3986,0.2415
101,101,Alabama,Etowah,1785,0.7587
102,102,Alabama,Etowah,1980,0.778
103,103,Alabama,Etowah,5322,0.1891
104,104,Alabama,Etowah,3300,0.7639
105,105,Alabama,Etowah,1731,0.8398
106,106,Alabama,Etowah,2227,0.6323
107,107,Alabama,Etowah,5044,0.7823
108,108,Alabama,Etowah,3840,0.7438
109,109,Alabama,Etowah,5013,0.4027
110,110,Alabama,Etowah,8409,0.1577
111,111,Alabama,Etowah,5116,0.1176
112,112,Alabama,Etowah,5235,0.3089
113,113,Alabama,Fayette,4228,0.6615
114,114,Alabama,Fayette,3853,0.8349
115,115,Alabama,Franklin,3817,0.883
116,116,Alabama,Franklin,2871,0.6904
117,117,Alabama,Greene,3594,0.8994
118,118,Alabama,Henry,6535,0.4555
119,119,Alabama,Houston,9744,0.361
120,120,Alabama,Houston,8680,0.2546
121,121,Alabama,Houston,3853,0.7095
122,122,Alabama,Houston,3706,0.8891
123,123,Alabama,Houston,2516,0.4639
124,124,Alabama,Houston,2959,0.7736
125,125,Alabama,Houston,5141,0.5457
126,126,Alabama,Houston,5304,0.9387
127,127,Alabama,Houston,3610,0.7667
128,128,Alabama,Houston,4030,0.8324
129,129,Alabama,Jackson,3219,0.7649
130,130,Alabama,Jackson,5761,0.5052
131,131,Alabama,Jackson,4485,0.6698
132,132,Alabama,Jackson,5712,0.2863
133,133,Alabama,Jefferson,3336,0.9881
134,134,Alabama,Jefferson,1906,0.6798
135,135,Alabama,Jefferson,2579,0.893
136,136,Alabama,Jefferson,3520,0.9188
137,137,Alabama,Jefferson,3073,0.2209
138,138,Alabama,Jefferson,3784,0.1469
139,139,Alabama,Jefferson,969,0.633
140,140,Alabama,Jefferson,2112,0.9069
141,141,Alabama,Jefferson,4537,0.8062
142,142,Alabama,Jefferson,4445,0.8912
143,143,Alabama,Jefferson,5149,0.7576
144,144,Alabama,Jefferson,3645,0.8989
145,145,Alabama,Jefferson,1357,0.8263
146,146,Alabama,Jefferson,3466,0.0475
147,147,Alabama,Jefferson,3365,0.6043
148,148,Alabama,Jefferson,2494,0.8657
149,149,Alabama,Jefferson,6073,0.8861
150,150,Alabama,Jefferson,5019,0.8675
151,151,Alabama,Jefferson,4729,0.4999
152,152,Alabama,Jefferson,2835,0.9249
153,153,Alabama,Jefferson,3653,0.9491
154,154,Alabama,Jefferson,1333,0.9398
155,155,Alabama,Jefferson,6647,0.167
156,156,Alabama,Jefferson,6375,0.284
157,157,Alabama,Jefferson,7284,0.0578
158,158,Alabama,Jefferson,5902,0.427
159,159,Alabama,Jefferson,1841,0.8014
160,160,Alabama,Jefferson,11535,0.3339
161,161,Alabama,Jefferson,4755,0.1969
162,162,Alabama,Jefferson,5675,0.0742
163,163,Alabama,Jefferson,8804,0.4473
164,164,Alabama,Jefferson,2169,0.2251
165,165,Alabama,Jefferson,5119,0.1391
166,166,Alabama,Jefferson,4315,0.8476
167,167,Alabama,Jefferson,6406,0.1809
168,168,Alabama,Jefferson,6777,0.5052
169,169,Alabama,Jefferson,3765,0.5068
170,170,Alabama,Jefferson,9593,0.486
171,171,Alabama,Jefferson,3697,0.1563
172,172,Alabama,Jefferson,7825,0.5376
173,173,Alabama,Jefferson,7148,0.9268
174,174,Alabama,Jefferson,2894,0.7088
175,175,Alabama,Jefferson,2365,0.6064
176,176,Alabama,Jefferson,4654,0.6649
177,177,Alabama,Jefferson,7617,0.3185
178,178,Alabama,Jefferson,4303,0.5844
179,179,Alabama,Jefferson,2746,0.7903
180,180,Alabama,Jefferson,3783,0.4692
181,181,Alabama,Jefferson,2539,0.4087
182,182,Alabama,Jefferson,3770,0.6793
183,183,Alabama,Jefferson,3283,0.7899
184,184,Alabama,Jefferson,4018,0.7218
185,185,Alabama,Jefferson,2995,0.7348
186,186,Alabama,Jefferson,6208,0.1797
187,187,Alabama,Jefferson,4650,0.4108
188,188,Alabama,Jefferson,5976,0.0232
189,189,Alabama,Jefferson,6414,0.3115
190,190,Alabama,Jefferson,4210,0.9266
191,191,Alabama,Jefferson,2245,0.732
192,192,Alabama,Jefferson,3341,0.9786
193,193,Alabama,Jefferson,4790,0.5621
194,194,Alabama,Jefferson,3456,0.8798
195,195,Alabama,Jefferson,2067,0.8583
196,196,Alabama,Jefferson,1671,0.808
197,197,Alabama,Jefferson,3593,0.1845
198,198,Alabama,Jefferson,3655,0.4302
199,199,Alabama,Jefferson,3168,0.8588
200,200,Alabama,Jefferson,4718,0.9071
201,201,Alabama,Jefferson,13154,0.1955
202,202,Alabama,Jefferson,9774,0.1079
203,203,Alabama,Jefferson,2661,0.6521
204,204,Alabama,Jefferson,8344,0.2451
205,205,Alabama,Jefferson,5884,0.0412
206,206,Alabama,Jefferson,5326,0.0725
207,207,Alabama,Jefferson,9604,0.0324
208,208,Alabama,Lamar,5251,0.7574
209,209,Alabama,Lamar,4022,0.3772
210,210,Alabama,Lauderdale,3316,0.7867
211,211,Alabama,Lauderdale,3604,0.8762
212,212,Alabama,Lauderdale,7060,0.6345
213,213,Alabama,Lauderdale,4727,0.7075
214,214,Alabama,Lauderdale,5725,0.3413
215,215,Alabama,Lauderdale,4237,0.1689
216,216,Alabama,Lauderdale,4043,0.3076
217,217,Alabama,Lauderdale,6521,0.1853
218,218,Alabama,Lauderdale,6958,0.349
219,219,Alabama,Lauderdale,4743,0.5259
220,220,Alabama,Lauderdale,4395,0.4386
221,221,Alabama,Lauderdale,7106,0.3373
222,222,Alabama,Lauderdale,4496,0.3514
223,223,Alabama,Lauderdale,4552,0.3398
224,224,Alabama,Lauderdale,3797,0.4932
225,225,Alabama,Lawrence,4543,0.561
